<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;D;240718;000000;649.7;661.9;645.2;661.7;1240846
TATN;D;240719;000000;662.4;666;657.3;662.7;1676981
TATN;D;240722;000000;665.8;670;661.3;663.2;1798827
TATN;D;240723;000000;663.2;665.2;657.1;663.6;819552
TATN;D;240724;000000;664;669.7;660.9;667.5;1370215
TATN;D;240725;000000;667.1;668.3;656;657.6;1525793
TATN;D;240726;000000;657.7;662;643.3;650.3;2752608
TATN;D;240729;000000;646.7;653.9;638;646.7;2076968
TATN;D;240730;000000;646.5;652;632.1;641.6;3443395
TATN;D;240731;000000;642.9;645.2;630.2;638.8;2103859
TATN;D;240801;000000;638.5;641.5;630;630.9;978907
TATN;D;240802;000000;629.9;634;620.6;622.9;1389419
TATN;D;240805;000000;609.9;618;606;608.8;2317184
TATN;D;240806;000000;611.6;618.3;605.3;607.1;2186856
TATN;D;240807;000000;608.3;627.4;600.8;623.6;2222654
TATN;D;240808;000000;622.3;624.8;609.5;613.8;1343712
TATN;D;240809;000000;613.5;621.8;607.2;610;1498537
TATN;D;240812;000000;610.1;610.7;601.7;604.5;3405985
TATN;D;240813;000000;605.8;614.7;604;609.1;2886154
TATN;D;240814;000000;609.3;624.5;606.2;613.1;5013675
TATN;D;240815;000000;613.4;618.2;608;608.5;2181229
TATN;D;240816;000000;609.3;612;599;600.8;2682956
TATN;D;240819;000000;602.3;606.3;587;591.6;2069441
TATN;D;240820;000000;591.2;599.6;577;586.9;4291592
TATN;D;240821;000000;587.4;605;585.9;603.5;4045153
TATN;D;240822;000000;603.5;606.3;595.4;601.7;2033668
TATN;D;240823;000000;603.9;605.9;586.5;596.6;3454233
TATN;D;240826;000000;606;616.6;600.5;607.8;3794403
TATN;D;240827;000000;608.4;616;606.3;611.6;2369456
TATN;D;240828;000000;611.6;613.9;598.1;604.1;2300242
TATN;D;240829;000000;604.1;608.2;595.1;599;2350816
TATN;D;240830;000000;600.2;602.1;586.6;590;1908853
TATN;D;240902;000000;588.8;590;555;565;3852665
TATN;D;240903;000000;565.1;575.9;556;564.1;3229032
TATN;D;240904;000000;565;583.4;563.2;583.4;2036837
TATN;D;240905;000000;587.9;590.9;577.8;581.2;1716211
TATN;D;240906;000000;581.7;592.8;579.1;588.9;1693852
TATN;D;240909;000000;590.1;610.6;590;610.5;1788232
TATN;D;240910;000000;610.8;611.5;591.1;595.8;1745653
TATN;D;240911;000000;596.1;598.8;584.5;590.7;1678452
TATN;D;240912;000000;590.6;594.1;582.2;593.4;1656425
TATN;D;240913;000000;594;610.6;582.9;607.3;3044788
TATN;D;240916;000000;610.3;623;607.5;621.2;2208002
TATN;D;240917;000000;622.3;636.2;614.7;635.4;2674282
TATN;D;240918;000000;636.5;637.6;623.7;626.8;2230412
